line_id,seq,name,resolve,station_id,region,lat,lon,aliases
ktx_gyeongbu,1,행신,existing,capital_0782,,,,
ktx_gyeongbu,2,서울,existing,capital_0456,,,,
ktx_gyeongbu,3,영등포,existing,capital_0602,,,,
ktx_gyeongbu,4,광명,existing,capital_0213,,,,
ktx_gyeongbu,5,수원,existing,capital_0507,,,,
ktx_gyeongbu,6,천안아산,new,,national,36.79391,127.10445,
ktx_gyeongbu,7,오송,new,,national,36.620557,127.327377,
ktx_gyeongbu,8,대전,existing,daejeon_0901,,,,
ktx_gyeongbu,9,김천구미,new,,national,36.113482,128.180991,김천(구미)
ktx_gyeongbu,10,서대구,existing,daegu_0846,,,,
ktx_gyeongbu,11,동대구,existing,daegu_0824,,,,
ktx_gyeongbu,12,포항,new,,national,36.071865,129.341983,
ktx_gyeongbu,13,경주,new,,national,35.798766,129.138752,신경주
ktx_gyeongbu,14,울산(통도사),new,,national,35.5515794,129.1385479,울산|통도사
ktx_gyeongbu,15,경산,existing,daegu_0804,,,,
ktx_gyeongbu,16,밀양,new,,national,35.4744457,128.7771466,
ktx_gyeongbu,17,물금,new,,national,35.3071833,128.9853488,
ktx_gyeongbu,18,구포,existing,busan_0019,,,,
ktx_gyeongbu,19,부산,existing,busan_0076,,,,
ktx_honam,1,행신,existing,capital_0782,,,,
ktx_honam,2,서울,existing,capital_0456,,,,
ktx_honam,3,용산,existing,capital_0630,,,,
ktx_honam,4,광명,existing,capital_0213,,,,
ktx_honam,5,천안아산,new,,national,36.79391,127.10445,
ktx_honam,6,오송,new,,national,36.620557,127.327377,
ktx_honam,7,공주,new,,national,36.332361,127.096778,
ktx_honam,8,서대전,new,,national,36.32264061,127.4033177,
ktx_honam,9,계룡,new,,national,36.272964,127.265421,
ktx_honam,10,논산,new,,national,36.20714967,127.0923195,
ktx_honam,11,익산,new,,national,35.9394,126.946773,
ktx_honam,12,김제,new,,national,35.792564,126.90313,
ktx_honam,13,정읍,new,,national,35.575556,126.8425,
ktx_honam,14,장성,new,,national,35.3,126.78,
ktx_honam,15,광주송정,existing,gwangju_0919,,,,
ktx_honam,16,나주,new,,national,35.01,126.18,
ktx_honam,17,목포,new,,national,34.79,126.39,
ktx_gyeongjeon,1,행신,existing,capital_0782,,,,
ktx_gyeongjeon,2,서울,existing,capital_0456,,,,
ktx_gyeongjeon,3,광명,existing,capital_0213,,,,
ktx_gyeongjeon,4,천안아산,new,,national,36.79391,127.10445,
ktx_gyeongjeon,5,오송,new,,national,36.620557,127.327377,
ktx_gyeongjeon,6,대전,existing,daejeon_0901,,,,
ktx_gyeongjeon,7,김천구미,new,,national,36.113482,128.180991,김천(구미)
